pdb_id,ligand_id,ligand_name,ligand_mw,resolution_A,affinity_type,affinity_pM,unit_raw,source,log10_pM,chain
4G5J,0WM,(2E)-N-{4-[(3-chloro-4-fluorophenyl)amino]-7-[(3S)-tetrahydrofuran-3-yloxy]quinazolin-6-yl}-4-(dimethylamino)but-2-enamide,485.938,2.8,KD,100.00000149011612,nM,BindingDB,2.000000006471492,A
4I24,1C9,(2E)-N-{4-[(3-chloro-4-fluorophenyl)amino]-7-methoxyquinazolin-6-yl}-4-(piperidin-1-yl)but-2-enamide,469.939,1.8,IC50,9.999999776482582,nM,BindingDB,0.9999999902927618,A
5EM8,5Q4,5Q4,,2.8,KD,1090.0,pM,paper,3.037426497940624,A
7ZYM,6GY,"5-chloro-N~4~-[2-(dimethylphosphoryl)phenyl]-N~2~-{2-methoxy-4-[4-(4-methylpiperazin-1-yl)piperidin-1-yl]phenyl}pyrimidine-2,4-diamine",584.092,2.5,IC50,2000.0,nM,BindingDB,3.3010299956639813,A
5X2A,7XO,"N2-[4-(4-methylpiperazin-1-yl)phenyl]-N8-phenyl-9-propan-2-yl-purine-2,8-diamine",442.559,1.85,IC50,5000.0,nM,BindingDB,3.6989700043360183,A
5X2C,7XR,"9-cyclopentyl-N2-[4-(4-methylpiperazin-1-yl)phenyl]-N8-phenyl-purine-2,8-diamine",468.597,2.05,KD,600.0000238418579,nM,BindingDB,2.7781512676409554,A
5UGB,8BM,8BM,,2.53,KD,161.0,pM,paper,2.206825876031849,A
7LG8,8RC,"6-ethyl-3-[[4-[4-(4-methylpiperazin-1-yl)piperidin-1-yl]phenyl]amino]-5-[(3R)-1-prop-2-enoylpyrrolidin-3-yl]oxy-pyrazin
e-2-carboxamide",562.706,2.93,IC50,1700.0000476837158,nM,BindingDB,3.230448933559906,A
6JRX,9JO,"N-{trans-4-[3-(2-chlorophenyl)-7-{[3-methyl-4-(4-methylpiperazin-1-yl)phenyl]amino}-2-oxo-3,4-dihydropyrimido[4,5-d]pyrimidin-1(2H)-yl]cyclohexyl}propanamide",617.184,2.201,IC50,5500.0,nM,BindingDB,3.740362689494244,A
7JXM,9LL,"(2R)-2-(5-fluoro-2-hydroxyphenyl)-2-(1-oxo-1,3-dihydro-2H-isoindol-2-yl)-N-(1,3-thiazol-2-yl)acetamide",383.396,2.192,IC50,2000.0,nM,BindingDB,3.3010299956639813,B
1M17,AQ4,"[6,7-BIS(2-METHOXY-ETHOXY)QUINAZOLINE-4-YL]-(3-ETHYNYLPHENYL)AMINE",393.436,2.6,KD,349.9999940395355,nM,BindingDB,2.5440680369542847,A
5GMP,F62,XTF-262,,1.7,KD,0.8,pM,paper,-0.0969100130080563,A
1XKK,FMM,GW572016,,2.4,KD,3.0,pM,paper,0.4771212547196624,A
8TJL,HZ6,"1-{3-[(4-amino-1-tert-butyl-1H-pyrazolo[3,4-d]pyrimidin-3-yl)oxy]azetidin-1-yl}propan-1-one",318.374,2.7,IC50,10000000.0,nM,BindingDB,7.0,A
4I22,IRE,Gefitinib,446.902,1.71,KD,519.9999809265137,nM,BindingDB,2.716003327704972,A
4JQ7,KJQ,"(2S)-2-[(5,6-diphenylfuro[2,3-d]pyrimidin-4-yl)amino]-2-phenylethanol",407.464,2.73,IC50,223000.0,nM,BindingDB,5.348304863048161,A
7U99,M0R,"19-chloro-22-methoxy-8,9,11,12,14,15-hexahydro-21H-4,6-ethenopyrimido[5,4-m][1,4,7,10,15]benzotetraoxazacycloheptadecine",431.869,2.5,IC50,300.00001192092896,nM,BindingDB,2.477121271976974,A
7U9A,M19,4-(5-chloro-4-fluoro-2-hydroxyanilino)-7-methoxyquinazolin-6-ol,335.718,2.6,IC50,12000.0,nM,BindingDB,4.079181246047625,A
6XL4,NQ1,"10-benzyl-8-fluoro-5,10-dihydro-11H-dibenzo[b,e][1,4]diazepin-11-one",318.344,2.06,IC50,39000.0,nM,BindingDB,4.5910646070265,A
6P8Q,O57,"10-benzyl-2-fluoro-5,10-dihydro-11H-dibenzo[b,e][1,4]diazepin-11-one",318.344,1.9,IC50,52000.0,nM,BindingDB,4.7160033436348,A
8D76,QFO,"(3S,4R)-3-fluoro-1-(4-{[8-{3-[(methanesulfonyl)methyl]azetidin-1-yl}-5-(propan-2-yl)-2,7-naphthyridin-3-yl]amino}pyrimidin-2-yl)-3-methylpiperidin-4-ol",543.657,2.4,IC50,100.00000149011612,nM,BindingDB,2.000000006471492,A
7ZYQ,V58,phenyl 2-[[4-[4-(dimethylamino)piperidin-1-yl]-2-methoxy-phenyl]amino]-4-(1H-indol-3-yl)pyrimidine-5-carboxylate,562.661,2.1,IC50,8.00000037997961,nM,BindingDB,0.903090007619824,A
3W33,W19,"4-{[4-(1-benzothiophen-4-yloxy)-3-chlorophenyl]amino}-N-(2-hydroxyethyl)-8,9-dihydro-7H-pyrimido[4,5-b]azepine-6-carboxamide",507.992,1.7,IC50,36000.0,nM,BindingDB,4.556302500767287,A
3W2S,W2R,"1-{3-[2-chloro-4-({5-[2-(2-hydroxyethoxy)ethyl]-5H-pyrrolo[3,2-d]pyrimidin-4-yl}amino)phenoxy]phenyl}-3-cyclohexylurea",565.063,1.9,IC50,6900.000095367432,nM,BindingDB,3.838849096739799,A
3W32,W32,"4-({3-chloro-4-[3-(trifluoromethyl)phenoxy]phenyl}amino)-N-[2-(methylsulfonyl)ethyl]-8,9-dihydro-7H-pyrimido[4,5-b]azepine-6-carboxamide",581.994,1.8,IC50,75000.0,nM,BindingDB,4.8750612633917,A
