pdb_id,ligand_id,ligand_name,ligand_mw,resolution_A,affinity_type,affinity_pM,unit_raw,source,log10_pM
1M17,AQ4,"[6,7-BIS(2-METHOXY-ETHOXY)QUINAZOLINE-4-YL]-(3-ETHYNYLPHENYL)AMINE",393.436,2.6,KD,349.9999940395355,nM,BindingDB,2.5440680369542847
2ITZ,IRE,Gefitinib,446.902,2.8,KD,519.9999809265137,nM,BindingDB,2.716003327704972
2J5F,DJK,N-[4-(3-BROMO-PHENYLAMINO)-QUINAZOLIN-6-YL]-ACRYLAMIDE,369.215,3.0,IC50,79.99999821186066,nM,BindingDB,1.9030899772847054
3IKA,0UN,N-{3-[(5-chloro-2-{[2-methoxy-4-(4-methylpiperazin-1-yl)phenyl]amino}pyrimidin-4-yl)oxy]phenyl}prop-2-enamide,494.973,2.9,KD,300.00001192092896,nM,BindingDB,2.477121271976974
3UG2,IRE,Gefitinib,446.902,2.5,KD,519.9999809265137,nM,BindingDB,2.716003327704972
4LQM,DJK,N-[4-(3-BROMO-PHENYLAMINO)-QUINAZOLIN-6-YL]-ACRYLAMIDE,369.215,2.5,IC50,79.99999821186066,nM,BindingDB,1.9030899772847054
4WKQ,IRE,Gefitinib,446.902,1.85,KD,519.9999809265137,nM,BindingDB,2.716003327704972
5EM8,5Q4,4-[(2-methoxyphenyl)amino]-~{N}-[4-(4-methylpiperazin-1-yl)phenyl]-2-oxidanylidene-1~{H}-pyridine-3-carboxamide,433.503,2.8,KI,19000.0,nM,BindingDB,4.278753600952829
5GMP,F62,"N-[3-[2-[[2-methoxy-4-(4-methylpiperazin-1-yl)phenyl]amino]-5-methyl-7-oxidanylidene-pyrido[2,3-d]pyrimidin-8-yl]phenyl]prop-2-enamide",525.602,2.797,IC50,5300.000190734863,nM,BindingDB,3.724275885230053
5UGA,8BM,4-(4-{[2-{[(3S)-1-acetylpyrrolidin-3-yl]amino}-9-(propan-2-yl)-9H-purin-6-yl]amino}phenyl)-1-methylpiperazin-1-ium,477.605,1.82,KI,161000.0,nM,BindingDB,5.20682587603185
5UGB,8BM,4-(4-{[2-{[(3S)-1-acetylpyrrolidin-3-yl]amino}-9-(propan-2-yl)-9H-purin-6-yl]amino}phenyl)-1-methylpiperazin-1-ium,477.605,2.53,KI,161000.0,nM,BindingDB,5.20682587603185
5X26,7XO,"N2-[4-(4-methylpiperazin-1-yl)phenyl]-N8-phenyl-9-propan-2-yl-purine-2,8-diamine",442.559,2.951,IC50,5000.0,nM,BindingDB,3.6989700043360187
5X27,7XR,"9-cyclopentyl-N2-[4-(4-methylpiperazin-1-yl)phenyl]-N8-phenyl-purine-2,8-diamine",468.597,2.952,KD,600.0000238418579,nM,BindingDB,2.7781512676409554
5X2A,7XO,"N2-[4-(4-methylpiperazin-1-yl)phenyl]-N8-phenyl-9-propan-2-yl-purine-2,8-diamine",442.559,1.85,IC50,5000.0,nM,BindingDB,3.6989700043360187
5X2C,7XR,"9-cyclopentyl-N2-[4-(4-methylpiperazin-1-yl)phenyl]-N8-phenyl-purine-2,8-diamine",468.597,2.05,KD,600.0000238418579,nM,BindingDB,2.7781512676409554
5XDK,8JC,N-[3-[[2-[[4-(4-ethanoylpiperazin-1-yl)-2-methoxy-phenyl]amino]-5-(trifluoromethyl)pyrimidin-4-yl]amino]phenyl]prop-2-enamide,555.552,2.346,KD,1399.999976158142,nM,BindingDB,3.146128028282247
5XDL,8JC,N-[3-[[2-[[4-(4-ethanoylpiperazin-1-yl)-2-methoxy-phenyl]amino]-5-(trifluoromethyl)pyrimidin-4-yl]amino]phenyl]prop-2-enamide,555.552,2.7,KD,1399.999976158142,nM,BindingDB,3.146128028282247
5ZTO,9JO,"N-{trans-4-[3-(2-chlorophenyl)-7-{[3-methyl-4-(4-methylpiperazin-1-yl)phenyl]amino}-2-oxo-3,4-dihydropyrimido[4,5-d]pyrimidin-1(2H)-yl]cyclohexyl}propanamide",617.184,2.649,IC50,5500.0,nM,BindingDB,3.7403626894942437
5ZWJ,9LL,"(2R)-2-(5-fluoro-2-hydroxyphenyl)-2-(1-oxo-1,3-dihydro-2H-isoindol-2-yl)-N-(1,3-thiazol-2-yl)acetamide",383.396,2.9,IC50,2000.0,nM,BindingDB,3.3010299956639813
6JRX,9JO,"N-{trans-4-[3-(2-chlorophenyl)-7-{[3-methyl-4-(4-methylpiperazin-1-yl)phenyl]amino}-2-oxo-3,4-dihydropyrimido[4,5-d]pyrimidin-1(2H)-yl]cyclohexyl}propanamide",617.184,2.201,IC50,5500.0,nM,BindingDB,3.7403626894942437
