ligand_comp_id,rosetta_ligand_comp_id,status,method,n_pdbs_using_ligand,pdbs_using_ligand,is_covalent,atom_names_all_match,atom_name_mismatches,pyrosetta_loaded,pyrosetta_scored,ref2015_score,pyrosetta_error
03P,03P,OK,CCD_CIF,2,"3POZ,3W2O",False,True,,True,True,3.5285753591232027,
0UN,0UN,OK,CCD_CIF,1,3IKA,True,True,,True,True,3.251101038341787,
1E8,1E8,OK,CCD_CIF,1,5YU9,True,True,,True,True,1.8175098199657669,
1WY,1WY,OK,CCD_CIF,1,4LI5,False,True,,True,True,2.953969006408788,
3QW,3QW,OK,CCD_CIF,1,4RJ4,False,True,,True,True,2.4680288262953023,
3QY,3QY,OK,CCD_CIF,1,4RJ5,False,True,,True,True,1.2400797221746733,
3R0,3R0,OK,CCD_CIF,1,4RJ6,False,True,,True,True,1.3457708927034238,
3R1,3R1,OK,CCD_CIF,1,4RJ7,False,True,,True,True,5.313801252995201,
4YV,4YV,OK,CCD_CIF,1,5C8K,False,True,,True,True,2.3167549689081084,
4YW,4YW,OK,CCD_CIF,1,5C8M,False,True,,True,True,2.133953855862037,
4YX,4YX,OK,CCD_CIF,1,5C8N,False,True,,True,True,2.6185300497369504,
4Z8,4Z8,OK,CCD_CIF,1,5CAL,False,True,,True,True,2.0082685841758297,
4ZB,4ZB,OK,CCD_CIF,1,5CAN,False,True,,True,True,2.2619320963548457,
4ZG,4ZG,OK,CCD_CIF,1,5CAO,False,True,,True,True,2.825603242899934,
4ZH,4ZH,OK,CCD_CIF,1,5CAP,False,True,,True,True,3.0083954266258006,
4ZJ,4ZJ,OK,CCD_CIF,1,5CAQ,False,True,,True,True,2.4105350063098676,
4ZQ,4ZQ,OK,CCD_CIF,2,"5CAS,5CAV",False,True,,True,True,5.171870594438678,
4ZR,4ZR,OK,CCD_CIF,1,5CAU,False,True,,True,True,5.564522803008427,
5N3,5N3,OK,CCD_CIF,1,5EDQ,False,True,,True,True,1.0671790918866702,
5N4,5N4,OK,CCD_CIF,1,5EDR,False,True,,True,True,1.2046705989117357,
5Q2,5Q2,OK,CCD_CIF,1,5EM5,False,True,,True,True,1.1271230447381444,
5Q3,5Q3,OK,CCD_CIF,1,5EM6,False,True,,True,True,1.967349246048091,
5Q4,5Q4,OK,CCD_CIF,2,"5EM7,5EM8",False,True,,True,True,2.123947439958739,
60B,60B,OK,CCD_CIF,1,5HCX,False,True,,True,True,1.7330878005200074,
60D,60D,OK,CCD_CIF,1,5HCY,False,True,,True,True,2.5395166372235294,
630,630,OK,CCD_CIF,1,5HG7,True,True,,True,True,1.9327065624443138,
634,Z34,OK,CCD_CIF,1,5HG8,True,True,,True,True,1.3970217050401643,
63A,63A,OK,CCD_CIF,1,5HG9,True,True,,True,True,2.1090695353153284,
6HJ,6HJ,OK,CCD_CIF,1,5J9Z,True,True,,True,True,2.3068878708632528,
6HL,6HL,OK,CCD_CIF,1,5J9Y,True,True,,True,True,2.2672738107745922,
80U,80U,OK,CCD_CIF,1,5GNK,True,True,,True,True,3.179975486756341,
816,816,OK,CCD_CIF,1,5GTY,True,True,,True,True,4.047544920548863,
8AM,8AM,OK,CCD_CIF,1,5UG9,True,True,,True,True,2.418367112741084,
8BM,8BM,OK,CCD_CIF,2,"5UGA,5UGB",False,True,,True,True,2.196592435606334,
8BP,8BP,OK,CCD_CIF,1,5UG8,True,True,,True,True,2.188852295729289,
8BS,8BS,OK,CCD_CIF,1,5UGC,True,True,,True,True,2.207621701729226,
AEE,AEE,OK,CCD_CIF,4,"2ITP,2ITT,2J6M,2JIU",False,True,,True,True,1.3817998371789666,
F62,F62,OK,CCD_CIF,1,5GMP,True,True,,True,True,2.7454095658164475,
FMM,FMM,OK,CCD_CIF,1,1XKK,False,True,,True,True,0.7394009527034333,
HKI,HKI,OK,CCD_CIF,1,3W2Q,True,True,,True,True,3.9232117642969238,
HYZ,HYZ,OK,CCD_CIF,1,2RGP,False,True,,True,True,1.307397994628212,
IRE,IRE,OK,CCD_CIF,3,"2ITO,2ITY,2ITZ",False,True,,True,True,1.3543119131217904,
KJ8,KJ8,OK,CCD_CIF,1,4JQ8,False,True,,True,True,4.212798367848759,
KJQ,KJQ,OK,CCD_CIF,1,4JQ7,False,True,,True,True,2.015324607078186,
KJR,KJR,OK,CCD_CIF,1,4JR3,False,True,,True,True,2.8525474334492955,
KJV,KJV,OK,CCD_CIF,1,4JRV,False,True,,True,True,3.974858345600965,
POX,POX,OK,CCD_CIF,1,3BEL,False,True,,True,True,0.9865346886443094,
W19,W19,OK,CCD_CIF,1,3W33,False,True,,True,True,1.3052462531871856,
W2P,W2P,OK,CCD_CIF,1,3W2P,True,True,,True,True,3.1877951949291172,
W2R,W2R,OK,CCD_CIF,2,"3W2R,3W2S",False,True,,True,True,3.808574217614513,
W32,W32,OK,CCD_CIF,1,3W32,False,True,,True,True,1.9038706343236567,
