pdb_id,ligand_comp_id,download_timestamp_utc,pdb_downloaded,pdb_http_status,pdb_sha256,pdb_bytes,pdb_atom_count,pdb_id_match,pdb_ligand_found,cif_downloaded,cif_http_status,cif_sha256,cif_bytes,cif_atom_count,cif_id_match,cif_ligand_found,status,notes
1XKK,FMM,2026-07-23T22:13:03.336203+00:00,True,200,7e71a04a1d40d11a374ebcce6b4fd9ba90b3c4e4a60fd20a90188032d400e7ec,236196,2376,True,True,True,200,72b40baf2b78e319e025a81243c61d0fe69ca835b9e4bf3cc736c6c7d7de5b34,296182,2376,True,True,OK,
2ITO,IRE,2026-07-23T22:13:04.781979+00:00,True,200,0e6ac6bf100cf98b877ff871abd737e5583e9a97aa5fd76afb4c0c32f0776a30,250047,2484,True,True,True,200,e2da911de9b99923fcbb362fa9123d0264855f60be63c069e18fb7cd914af472,309194,2484,True,True,OK,
2ITP,AEE,2026-07-23T22:13:05.980174+00:00,True,200,07fd410e0b3247ee389d649c6f8180e8afbd274382665407b2bc764e4ff705a2,255474,2546,True,True,True,200,d4a2138dab346a852407fcbcde8016ab664934255950f9725da61d4828eb10ce,314535,2546,True,True,OK,
2ITT,AEE,2026-07-23T22:13:07.146276+00:00,True,200,bc348cd11bb2760453f1c0d6b46780dfa118ec64797420d174b0656adb764f16,255555,2526,True,True,True,200,85043475acb0329db0ff399b0c2bb6dd84df3fbbc4edbe61c50a90d8aa5f873e,314099,2526,True,True,OK,
2ITY,IRE,2026-07-23T22:13:08.138976+00:00,True,200,c49febda8422da4d8d072f1c45614abd1a6a64c1ad9420e6dc550babfdab9e6d,250452,2446,True,True,True,200,6e0dbc7d08de1441850beee33f03e8b9278b915ac17c68a11bd4b32ef782a25d,305236,2446,True,True,OK,
2ITZ,IRE,2026-07-23T22:13:09.343908+00:00,True,200,773e94e123e6ba991d48936d1332a9d4b260284cf58fa00dd0dae6056ad35879,254664,2512,True,True,True,200,8cf08a9c62c8fcfc9f72d391fad7219a8fb9b0b4764cd4d158f436c05b9db12f,313941,2512,True,True,OK,
2J6M,AEE,2026-07-23T22:13:10.572398+00:00,True,200,1acbd19abb989d61238d9f23b023dcda5dc56487139126eb3fcf6f8fe7a95592,260496,2532,True,True,True,200,8d9323f9cd10432c8e20b078bdc73d5b6895faaf90f011ae3c45228292d3e877,315640,2532,True,True,OK,
2JIU,AEE,2026-07-23T22:13:11.596398+00:00,True,200,dd0950901d807473037b29bbd50161f0520bbdbdedab7b64088d09f4d754aa13,453843,4880,True,True,True,200,189650e5aff24c3ab3a6acc911b205eca87023230c6ea5aa7c05605e806f1d08,544375,4880,True,True,OK,
2RGP,HYZ,2026-07-23T22:13:12.883855+00:00,True,200,6e15d44d1f9a515853ee2b1ec6c020c174683b2fdcf886c8597c5639da132aaa,232875,2417,True,True,True,200,2c557b019c22c21fe1286f2ebfe8a7fa9171cf60a6b9563242aa5f2fcbf09dd9,291718,2417,True,True,OK,
3BEL,POX,2026-07-23T22:13:14.110889+00:00,True,200,ab990fa996e02c0c596514c2f1a2846f826f982f91b29660df3b1605dd45ef8e,225747,2318,True,True,True,200,292a0578c8d09d2e2ee1207c207e0c693016388bcf4644d5dbbe4b3b7850491d,284432,2318,True,True,OK,
3IKA,0UN,2026-07-23T22:13:15.560673+00:00,True,200,9f67b9cb377e8a93dc5a04448df5eccc25107b94d7a6eaabe92146348b1b2f0e,459918,5104,True,True,True,200,af630acca619bab7a09c4a75bf1649c077bdad8fa8a06ae347722b4b19dbf983,567565,5104,True,True,OK,
3POZ,03P,2026-07-23T22:13:16.496276+00:00,True,200,6313b499a465c15b9df6791952d15235e963ffacc136d1aadaba1bea29023ef2,442179,2536,True,True,True,200,7ac8a2459426674f609bf695f8dedf54e50f4c28534608426a8617045d2959c6,516843,2536,True,True,OK,
3W2O,03P,2026-07-23T22:13:17.982169+00:00,True,200,376e8400712bd848c258d63e0f3961fe41031053cf9df8fb7b7b9a737eb29fff,451332,2526,True,True,True,200,6b69ebe354424a620c42536494dc35cb48f0ce47e1d4b9cdbf412b83fb8b007f,528453,2526,True,True,OK,
3W2P,W2P,2026-07-23T22:13:20.097999+00:00,True,200,45f007e72879a71bf961a42b0ed7e91cd225cc1a5d4f9c3780dfb8109d15c560,461781,2623,True,True,True,200,2e251ff5407180431e16e61265331a5ecada52278fa3fb0c244f7cb57f9cbc53,544045,2623,True,True,OK,
3W2Q,HKI,2026-07-23T22:13:21.681583+00:00,True,200,1e81a13fa25577f9433e72a7bd5638315faa3df4fe8a18833a70c665bb53abf2,463644,2621,True,True,True,200,6d43be2d28b7fd46e5c302d23ae703f6089701e3d0f848dd250dce21ae49e37c,544446,2621,True,True,OK,
3W2R,W2R,2026-07-23T22:13:23.278634+00:00,True,200,0fe8041d225f80e54ab693e7af4c71731439087a8bd426735db2e241dbd0cf0d,442989,2514,True,True,True,200,04d2b7f091391fa64960cde6f81ae2ec9447a05216095bdcc249a130d6949bd2,523700,2514,True,True,OK,
3W2S,W2R,2026-07-23T22:13:24.771694+00:00,True,200,dc0775a470601fcc11df395c7c341777829defbe879912b94086b67b6a67798a,455706,2594,True,True,True,200,d18b7504549fd6be276c52114a4b0f50aa9c8747c0f268b010ad4541955b68b2,539961,2594,True,True,OK,
3W32,W32,2026-07-23T22:13:26.358894+00:00,True,200,b1683b4b58bf010be89bb3cf8ed8596f33b2cfed013c74d44b0b6f43ce3b971f,463968,2671,True,True,True,200,e28de0583839646532fa9763abcd16605e570d9e8deb45fe2db05ae9e91cfd93,547361,2671,True,True,OK,
3W33,W19,2026-07-23T22:13:27.058189+00:00,True,200,7c9e1b75a322feece9e769c1e040b3b695a62ab793c87f51978764a87574ce4a,448416,2591,True,True,True,200,a381b2ddc0e820237f86470b133e4038992142a1e5617d9145ce4e373cfdaf2d,531766,2591,True,True,OK,
4JQ7,KJQ,2026-07-23T22:13:28.676264+00:00,True,200,82b0cc7127d17b2bb14d97650e5e6444220551f924725bd9c8bfcf3c5c64ab25,439587,2465,True,True,True,200,d88a0f1a829cf975e474addee9b6a5bb06805cbf46ca925543c014335f0c71ec,508015,2465,True,True,OK,
4JQ8,KJ8,2026-07-23T22:13:30.126484+00:00,True,200,a07c2169a08719138d4048ce1a5a5b541b70ee8836785b1e414f4edcce6a0557,441126,2469,True,True,True,200,f21dd515cbeb71000f449a67687fb1463469bcfd1b99499f4679d21bd0e43678,508415,2469,True,True,OK,
4JR3,KJR,2026-07-23T22:13:31.525967+00:00,True,200,3dfa4884715b59aa6c1c479684dfad3fa561f60b9f9ad894269df4aa821a408c,440802,2472,True,True,True,200,ea0eb4c599293ee4b66b77517ddae62eb995b39f9061176a7a9f2b7de20cc513,507171,2472,True,True,OK,
4JRV,KJV,2026-07-23T22:13:32.765755+00:00,True,200,0cc0fbbd74fb6106504abdcf5f6cd26aca85834bf008134fc91abd5a832ee0fc,437562,2453,True,True,True,200,2346aa3a227da4012e91096b42f00506968bdf0f87c7f122b5ae94a0748d5ec8,504404,2453,True,True,OK,
4LI5,1WY,2026-07-23T22:13:34.186321+00:00,True,200,a185d6763b01a079e52c5fb4bb5d9f2670ec0e5435006150337969f1baed1c45,458379,2545,True,True,True,200,0209f0b4751ec0ff1cc73088f8732c7c2553de75babc8d6c2a028a2a41da8b2a,530313,2545,True,True,OK,
4RJ4,3QW,2026-07-23T22:13:35.477470+00:00,True,200,71c21c4ada86dd7e7cfa7aa2168dd3e21bdb0177eb66a114454858b928e04376,440073,2438,True,True,True,200,2e9dd83ddd6b02f6f3931d79621fa34492b8c896307df1ba372085b04821acc3,509296,2438,True,True,OK,
4RJ5,3QY,2026-07-23T22:13:36.681400+00:00,True,200,05b60fd4dac81a4833c5feef4b0da98c463d5ffef85b3903a075e3b2523e9e00,435132,2408,True,True,True,200,129f29671e91fcceffbab1f7ba19cc3683d3fc18537072dba30f873e8d99caf3,505180,2408,True,True,OK,
4RJ6,3R0,2026-07-23T22:13:38.146832+00:00,True,200,dafda8933c93faa1da8446b405214c1af0f15b3b5a617b86279dd220167ffe84,438939,2427,True,True,True,200,755d86101c7bc3fb36cc20c239da95d705b304f19b1925b255a037226b8dd723,509672,2427,True,True,OK,
4RJ7,3R1,2026-07-23T22:13:39.334365+00:00,True,200,9201a8363071b56b5609b4a825b33bc9a293825ce4874339e46b74c552f86782,445500,2475,True,True,True,200,b482595383d0a6145e812e8caa664205b2997f34857861902f8d578b3320ab0f,520647,2475,True,True,OK,
5C8K,4YV,2026-07-23T22:13:40.765142+00:00,True,200,bdf1976bef83f20ee4c43c9b6187b042c505d40df92a7746cf6fadeb64119714,238869,2441,True,True,True,200,f0a5f7a51724b11bd0c6e3fa54b0b6904f324264a59756c5f91bdfce72542adc,308061,2441,True,True,OK,
5C8M,4YW,2026-07-23T22:13:42.251624+00:00,True,200,efd60c54b7ff72dcf485ae9d1e9cfe0c83db66e7055fc341cd17a4f28d2cdc88,443313,2457,True,True,True,200,407dcce42db73974559b0389c15738da7f4e6f0678b5cdce5bfbf895e7a34f4f,522391,2457,True,True,OK,
5C8N,4YX,2026-07-23T22:13:43.695366+00:00,True,200,e316956b07acc7385f9cf61b28322d4ef45bee7811b6f2863bf4989bc569d8b2,251667,2550,True,True,True,200,96b5bde6383ad7bba35e04ccf9f8bacfc2cb336ee8365f19c99202be8f8da8c2,322316,2550,True,True,OK,
