pdb_id,warnings,status,egfr_chain,ligand_comp_id,rosetta_ligand_comp_id,protein_atom_count,ligand_atom_count,n_protein_residues,n_missing_residues,missing_residue_ranges,n_altloc_atoms_removed,n_disulfides,disulfide_pairs,is_covalent,covalent_protein_residue,covalent_protein_atom,covalent_ligand_atom,n_bridging_waters
1XKK,"63 missing residues (SEQRES vs ATOM): ['734-737', '750-753', '868-875', '988-994', '1005-1009'] | 5 bridging-water candidate(s) (<4Å ligand)",OK,A,FMM,FMM,2249,40,289,63,734-737;750-753;868-875;988-994;1005-1009,0,0,,False,,,,5
2ITO,"24 missing residues (SEQRES vs ATOM): ['867-875', '990-1001'] | 1 bridging-water candidate(s) (<4Å ligand)",OK,A,IRE,IRE,2419,31,303,24,867-875;990-1001,0,0,,False,,,,1
2ITP,22 missing residues (SEQRES vs ATOM): ['985-1001'] | 6 altloc atom(s) removed | 6 bridging-water candidate(s) (<4Å ligand),OK,A,AEE,AEE,2442,33,305,22,985-1001,6,0,,False,,,,6
2ITT,"25 missing residues (SEQRES vs ATOM): ['867-875', '990-1001'] | 6 altloc atom(s) removed | 5 bridging-water candidate(s) (<4Å ligand)",OK,A,AEE,AEE,2413,33,302,25,867-875;990-1001,6,0,,False,,,,5
2ITY,"27 missing residues (SEQRES vs ATOM): ['866-875', '990-1002'] | 1 bridging-water candidate(s) (<4Å ligand)",OK,A,IRE,IRE,2396,31,300,27,866-875;990-1002,0,0,,False,,,,1
2ITZ,"24 missing residues (SEQRES vs ATOM): ['866-875', '991-1001'] | 2 bridging-water candidate(s) (<4Å ligand)",OK,A,IRE,IRE,2415,31,303,24,866-875;991-1001,0,0,,False,,,,2
2J6M,21 missing residues (SEQRES vs ATOM): ['985-1002'] | 4 bridging-water candidate(s) (<4Å ligand),OK,A,AEE,AEE,2433,33,306,21,985-1002,0,0,,False,,,,4
2JIU,24 missing residues (SEQRES vs ATOM): ['993-1009'] | 4 bridging-water candidate(s) (<4Å ligand),OK,A,AEE,AEE,2380,33,304,24,993-1009,0,0,,False,,,,4
2RGP,"31 missing residues (SEQRES vs ATOM): ['734-737', '749-753', '868-875', '988-995', '1004-1009'] | 3 bridging-water candidate(s) (<4Å ligand)",OK,A,HYZ,HYZ,2289,33,284,31,734-737;749-753;868-875;988-995;1004-1009,0,0,,False,,,,3
3BEL,"35 missing residues (SEQRES vs ATOM): ['734-737', '748-753', '868-875', '987-995', '1003-1009'] | 2 bridging-water candidate(s) (<4Å ligand)",OK,A,POX,POX,2249,32,280,35,734-737;748-753;868-875;987-995;1003-1009,0,0,,False,,,,2
3IKA,21 missing residues (SEQRES vs ATOM): ['989-1003'] | COVALENT: CYS797 - ligand | 4 bridging-water candidate(s) (<4Å ligand),OK,A,0UN,0UN,2440,35,310,21,989-1003,0,0,,True,CYS797,SG,CAP,4
3POZ,"34 missing residues (SEQRES vs ATOM): ['734-737', '748-754', '868-874', '1004-1009'] | 3 bridging-water candidate(s) (<4Å ligand)",OK,A,03P,03P,2357,38,293,34,734-737;748-754;868-874;1004-1009,0,0,,False,,,,3
3W2O,26 missing residues (SEQRES vs ATOM): ['991-1006'] | 3 altloc atom(s) removed | 1 bridging-water candidate(s) (<4Å ligand),OK,A,03P,03P,2448,38,305,26,991-1006,3,0,,False,,,,1
3W2P,23 missing residues (SEQRES vs ATOM): ['992-1005'] | 10 altloc atom(s) removed | COVALENT: CYS797 - ligand | 9 bridging-water candidate(s) (<4Å ligand),OK,A,W2P,W2P,2470,39,308,23,992-1005,10,0,,True,CYS797,SG,C35,9
3W2Q,24 missing residues (SEQRES vs ATOM): ['993-1006'] | 12 altloc atom(s) removed | COVALENT: CYS797 - ligand | 3 bridging-water candidate(s) (<4Å ligand),OK,A,HKI,HKI,2461,40,307,24,993-1006,12,0,,True,CYS797,SG,CBT,3
3W2R,"34 missing residues (SEQRES vs ATOM): ['862-875', '986-994'] | 3 altloc atom(s) removed | 8 bridging-water candidate(s) (<4Å ligand)",OK,A,W2R,W2R,2391,40,297,34,862-875;986-994,3,0,,False,,,,8
3W2S,23 missing residues (SEQRES vs ATOM): ['863-874'] | 23 altloc atom(s) removed | 1 bridging-water candidate(s) (<4Å ligand),OK,A,W2R,W2R,2471,40,307,23,863-874,23,0,,False,,,,1
3W32,13 missing residues (SEQRES vs ATOM): [] | 5 bridging-water candidate(s) (<4Å ligand),OK,A,W32,W32,2545,39,317,13,,0,0,,False,,,,5
3W33,"33 missing residues (SEQRES vs ATOM): ['749-753', '863-874', '1004-1007'] | 28 altloc atom(s) removed | 2 bridging-water candidate(s) (<4Å ligand)",OK,A,W19,W19,2396,35,297,33,749-753;863-874;1004-1007,28,0,,False,,,,2
4JQ7,25 missing residues (SEQRES vs ATOM): ['961-981'] | 1 bridging-water candidate(s) (<4Å ligand),OK,A,KJQ,KJQ,2409,31,303,25,961-981,0,0,,False,,,,1
4JQ8,25 missing residues (SEQRES vs ATOM): ['961-981'],OK,A,KJ8,KJ8,2409,39,303,25,961-981,0,0,,False,,,,0
4JR3,25 missing residues (SEQRES vs ATOM): ['961-981'] | 1 bridging-water candidate(s) (<4Å ligand),OK,A,KJR,KJR,2417,35,303,25,961-981,0,0,,False,,,,1
4JRV,"28 missing residues (SEQRES vs ATOM): ['724-726', '961-981'] | 2 bridging-water candidate(s) (<4Å ligand)",OK,A,KJV,KJV,2392,40,300,28,724-726;961-981,0,0,,False,,,,2
4LI5,22 missing residues (SEQRES vs ATOM): ['986-1007'] | 8 altloc atom(s) removed | 1 bridging-water candidate(s) (<4Å ligand),OK,A,1WY,1WY,2437,30,306,22,986-1007,8,0,,False,,,,1
4RJ4,"32 missing residues (SEQRES vs ATOM): ['747-749', '862-875', '999-1004']",OK,A,3QW,3QW,2403,32,299,32,747-749;862-875;999-1004,0,0,,False,,,,0
4RJ5,"35 missing residues (SEQRES vs ATOM): ['747-750', '860-875', '999-1005']",OK,A,3QY,3QY,2379,29,296,35,747-750;860-875;999-1005,0,0,,False,,,,0
4RJ6,"34 missing residues (SEQRES vs ATOM): ['747-750', '862-875', '999-1005']",OK,A,3R0,3R0,2389,29,297,34,747-750;862-875;999-1005,0,0,,False,,,,0
4RJ7,"36 missing residues (SEQRES vs ATOM): ['747-751', '862-875', '998-1005'] | 42 altloc atom(s) removed | 2 bridging-water candidate(s) (<4Å ligand)",OK,A,3R1,3R1,2370,30,295,36,747-751;862-875;998-1005,42,0,,False,,,,2
5C8K,"31 missing residues (SEQRES vs ATOM): ['748-749', '861-875', '999-1003']",OK,A,4YV,4YV,2412,29,300,31,748-749;861-875;999-1003,0,0,,False,,,,0
5C8M,"29 missing residues (SEQRES vs ATOM): ['748-749', '862-875', '999-1003']",OK,A,4YW,4YW,2427,30,302,29,748-749;862-875;999-1003,0,0,,False,,,,0
5C8N,"31 missing residues (SEQRES vs ATOM): ['748-750', '862-875', '999-1005'] | 4 bridging-water candidate(s) (<4Å ligand)",OK,A,4YX,4YX,2408,31,300,31,748-750;862-875;999-1005,0,0,,False,,,,4
5CAL,"31 missing residues (SEQRES vs ATOM): ['748-749', '861-875', '999-1003']",OK,A,4Z8,4Z8,2412,28,300,31,748-749;861-875;999-1003,0,0,,False,,,,0
5CAN,"30 missing residues (SEQRES vs ATOM): ['748-749', '862-875', '999-1005'] | 1 bridging-water candidate(s) (<4Å ligand)",OK,A,4ZB,4ZB,2413,29,301,30,748-749;862-875;999-1005,0,0,,False,,,,1
