pdb_id,n_protein_chains,n_ligand_copies,motif_summary,selected_chain,selected_ligand_chain,selected_ligand_resnum,selection_status,reason,n_pocket_ligand_copies,n_valid_motif_chains
1XKK,1,1,{'A': '8/8 OK (0 eksik)'},A,A,91,OK,"Seçilen ligand kopyası (zincir A, resnum 91) ATP cebi referans noktalarına en yakın (ortalama 5.34 Å), en yakın protein zinciri A.",1,1
2ITO,1,1,{'A': '8/8 OK (0 eksik)'},A,A,2020,OK,"Seçilen ligand kopyası (zincir A, resnum 2020) ATP cebi referans noktalarına en yakın (ortalama 4.87 Å), en yakın protein zinciri A.",1,1
2ITP,1,1,{'A': '8/8 OK (0 eksik)'},A,A,2019,OK,"Seçilen ligand kopyası (zincir A, resnum 2019) ATP cebi referans noktalarına en yakın (ortalama 4.88 Å), en yakın protein zinciri A.",1,1
2ITT,1,1,{'A': '8/8 OK (0 eksik)'},A,A,2020,OK,"Seçilen ligand kopyası (zincir A, resnum 2020) ATP cebi referans noktalarına en yakın (ortalama 5.10 Å), en yakın protein zinciri A.",1,1
2ITY,1,1,{'A': '8/8 OK (0 eksik)'},A,A,2020,OK,"Seçilen ligand kopyası (zincir A, resnum 2020) ATP cebi referans noktalarına en yakın (ortalama 4.70 Å), en yakın protein zinciri A.",1,1
2ITZ,1,1,{'A': '8/8 OK (0 eksik)'},A,A,2021,OK,"Seçilen ligand kopyası (zincir A, resnum 2021) ATP cebi referans noktalarına en yakın (ortalama 4.53 Å), en yakın protein zinciri A.",1,1
2J6M,1,1,{'A': '8/8 OK (0 eksik)'},A,A,2021,OK,"Seçilen ligand kopyası (zincir A, resnum 2021) ATP cebi referans noktalarına en yakın (ortalama 4.83 Å), en yakın protein zinciri A.",1,1
2JIU,2,1,"{'A': '8/8 OK (0 eksik)', 'B': '8/8 OK (0 eksik)'}",A,A,2017,OK,"Seçilen ligand kopyası (zincir A, resnum 2017) ATP cebi referans noktalarına en yakın (ortalama 4.95 Å), en yakın protein zinciri A.",1,2
2RGP,1,1,{'A': '8/8 OK (0 eksik)'},A,A,1,OK,"Seçilen ligand kopyası (zincir A, resnum 1) ATP cebi referans noktalarına en yakın (ortalama 5.30 Å), en yakın protein zinciri A.",1,1
3BEL,1,1,{'A': '8/8 OK (0 eksik)'},A,A,1,OK,"Seçilen ligand kopyası (zincir A, resnum 1) ATP cebi referans noktalarına en yakın (ortalama 5.23 Å), en yakın protein zinciri A.",1,1
3IKA,2,1,"{'A': '8/8 OK (0 eksik)', 'B': '8/8 OK (0 eksik)'}",A,A,1797,OK,"Seçilen ligand kopyası (zincir A, resnum 1797) ATP cebi referans noktalarına en yakın (ortalama 6.92 Å), en yakın protein zinciri A.",1,2
3POZ,1,1,{'A': '8/8 OK (0 eksik)'},A,A,1023,OK,"Seçilen ligand kopyası (zincir A, resnum 1023) ATP cebi referans noktalarına en yakın (ortalama 4.85 Å), en yakın protein zinciri A.",1,1
3W2O,1,1,{'A': '8/8 OK (0 eksik)'},A,A,1101,OK,"Seçilen ligand kopyası (zincir A, resnum 1101) ATP cebi referans noktalarına en yakın (ortalama 5.19 Å), en yakın protein zinciri A.",1,1
3W2P,1,1,{'A': '8/8 OK (0 eksik)'},A,A,1101,OK,"Seçilen ligand kopyası (zincir A, resnum 1101) ATP cebi referans noktalarına en yakın (ortalama 5.24 Å), en yakın protein zinciri A.",1,1
3W2Q,1,1,{'A': '8/8 OK (0 eksik)'},A,A,1101,OK,"Seçilen ligand kopyası (zincir A, resnum 1101) ATP cebi referans noktalarına en yakın (ortalama 5.20 Å), en yakın protein zinciri A.",1,1
3W2R,1,1,{'A': '8/8 OK (0 eksik)'},A,A,1101,OK,"Seçilen ligand kopyası (zincir A, resnum 1101) ATP cebi referans noktalarına en yakın (ortalama 4.09 Å), en yakın protein zinciri A.",1,1
3W2S,1,1,{'A': '8/8 OK (0 eksik)'},A,A,1101,OK,"Seçilen ligand kopyası (zincir A, resnum 1101) ATP cebi referans noktalarına en yakın (ortalama 4.62 Å), en yakın protein zinciri A.",1,1
3W32,1,1,{'A': '8/8 OK (0 eksik)'},A,A,1101,OK,"Seçilen ligand kopyası (zincir A, resnum 1101) ATP cebi referans noktalarına en yakın (ortalama 5.15 Å), en yakın protein zinciri A.",1,1
3W33,1,1,{'A': '8/8 OK (0 eksik)'},A,A,1101,OK,"Seçilen ligand kopyası (zincir A, resnum 1101) ATP cebi referans noktalarına en yakın (ortalama 5.38 Å), en yakın protein zinciri A.",1,1
4JQ7,1,1,{'A': '8/8 OK (0 eksik)'},A,A,1001,OK,"Seçilen ligand kopyası (zincir A, resnum 1001) ATP cebi referans noktalarına en yakın (ortalama 4.46 Å), en yakın protein zinciri A.",1,1
4JQ8,1,1,{'A': '8/8 OK (0 eksik)'},A,A,1001,OK,"Seçilen ligand kopyası (zincir A, resnum 1001) ATP cebi referans noktalarına en yakın (ortalama 3.54 Å), en yakın protein zinciri A.",1,1
4JR3,1,1,{'A': '8/8 OK (0 eksik)'},A,A,1001,OK,"Seçilen ligand kopyası (zincir A, resnum 1001) ATP cebi referans noktalarına en yakın (ortalama 4.09 Å), en yakın protein zinciri A.",1,1
4JRV,1,1,{'A': '8/8 OK (0 eksik)'},A,A,1001,OK,"Seçilen ligand kopyası (zincir A, resnum 1001) ATP cebi referans noktalarına en yakın (ortalama 3.38 Å), en yakın protein zinciri A.",1,1
4LI5,1,1,{'A': '8/8 OK (0 eksik)'},A,A,1101,OK,"Seçilen ligand kopyası (zincir A, resnum 1101) ATP cebi referans noktalarına en yakın (ortalama 6.07 Å), en yakın protein zinciri A.",1,1
4RJ4,1,1,{'A': '8/8 OK (0 eksik)'},A,A,1101,OK,"Seçilen ligand kopyası (zincir A, resnum 1101) ATP cebi referans noktalarına en yakın (ortalama 4.43 Å), en yakın protein zinciri A.",1,1
4RJ5,1,1,{'A': '8/8 OK (0 eksik)'},A,A,1101,OK,"Seçilen ligand kopyası (zincir A, resnum 1101) ATP cebi referans noktalarına en yakın (ortalama 4.48 Å), en yakın protein zinciri A.",1,1
4RJ6,1,1,{'A': '8/8 OK (0 eksik)'},A,A,1102,OK,"Seçilen ligand kopyası (zincir A, resnum 1102) ATP cebi referans noktalarına en yakın (ortalama 4.22 Å), en yakın protein zinciri A.",1,1
