pdb_id,paper_minimally_frustrated_contacts,paper_highly_frustrated_contacts,affinity_pM
1xkk,21,0,3
2ito,5,1,123.6
2itp,10,1,11.3
2itt,10,1,1.7
2ity,6,0,53.5
2itz,7,0,2.6
2j6m,12,0,10.9
2jiu,13,0,27.6
2rgp,22,0,30
3bel,22,0,14
3ika,14,0,14
3poz,15,0,23
3w2o,4,0,8400
3w2p,6,0,8100
3w2q,14,0,66
3w2r,12,0,19
3w2s,13,0,6.9
3w32,7,0,75
3w33,23,0,36
4jq7,16,0,393
4jq8,16,0,8
4jr3,13,0,218
4jrv,14,0,29
4li5,10,0,550
4rj4,11,0,16
4rj5,9,0,66
4rj6,10,0,76
4rj7,13,0,22
5c8k,11,0,20
5c8m,11,0,64
5c8n,14,0,28
5cal,20,0,22
5can,13,0,14
5cao,12,0,38
5cap,14,0,52
5caq,17,0,2.7
5cas,16,0,1.4
5cau,15,0,1.6
5cav,7,0,216
5edq,5,0,2
5edr,9,0,34.3
5em5,8,1,262
5em6,16,0,4
5em7,15,0,19
5em8,4,0,1090
5gmp,16,0,0.8
5gnk,16,0,5.3
5gty,19,0,19.01
5hcx,18,0,4.1
5hcy,10,0,1.2
5hg7,12,0,4
5hg8,7,0,3
5hg9,15,0,35
5j9y,17,0,58
5j9z,16,0,16
5ug8,15,0,2
5ug9,15,0,8
5uga,13,0,161
5ugb,5,2,161
5ugc,10,0,13
5yu9,13,0,180
